Trial,Endowment,Choice,Decision,More_Prop,Less_Prop
1,17,8,1,0.470588235294118,0.294117647058824
2,15,3,0,0.466666666666667,0.2
4,15,5,0,0.466666666666667,0.333333333333333
7,15,3,1,0.2,0.0666666666666667
8,17,1,0,0.176470588235294,0.0588235294117647
9,25,2,0,0.32,0.08
13,17,1,0,0.294117647058824,0.0588235294117647
20,19,6,0,0.473684210526316,0.315789473684211
26,21,4,0,0.333333333333333,0.19047619047619
27,25,2,0,0.2,0.08
30,19,1,0,0.315789473684211,0.0526315789473684
31,15,3,0,0.466666666666667,0.2
