Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
12,25,8,1,8,0.32
15,23,4,1,4,0.173913043478261
16,23,7,1,7,0.304347826086957
29,17,3,1,3,0.176470588235294
36,21,4,1,4,0.19047619047619
