Trial,Endowment,Earned,Choice,Offer,Prop_Endowment
4,21,7,1,7,0.333333333333333
8,25,8,1,8,0.32
15,15,7,1,7,0.466666666666667
24,25,2,1,2,0.08
27,23,1,1,1,0.0434782608695652
34,23,4,1,4,0.173913043478261
